strategy,n_labels,accuracy,macro_f1,f1_AGN,f1_STAR,f1_COMPACT_OBJECT
random,30,0.5831435079726651,0.4718833466708339,0.7525252525252525,0.5895953757225434,0.07352941176470588
random,50,0.744874715261959,0.5713325336132353,0.7884615384615384,0.7851851851851852,0.14035087719298245
random,70,0.7676537585421412,0.5503350990970843,0.7903614457831325,0.7981438515081206,0.0625
random,90,0.765375854214123,0.5777130121392416,0.7911547911547911,0.8056206088992974,0.13636363636363635
random,110,0.785876993166287,0.5784896312046458,0.8140703517587939,0.8283752860411899,0.09302325581395349
random,130,0.835990888382688,0.5710925594646525,0.8372093023255814,0.8760683760683761,0.0
random,150,0.8246013667425968,0.5644595590194145,0.8312342569269522,0.862144420131291,0.0
random,170,0.8337129840546698,0.6186069274730827,0.8337595907928389,0.8739130434782608,0.14814814814814814
random,190,0.8154897494305239,0.5608090901824765,0.8277634961439588,0.8546637744034707,0.0
random,210,0.8314350797266514,0.5949682087100031,0.8383838383838383,0.8665207877461707,0.08
random,230,0.8451025056947609,0.6046380838957258,0.8484848484848485,0.8820960698689956,0.08333333333333333
random,250,0.856492027334852,0.6403015709053834,0.8571428571428571,0.8898488120950324,0.17391304347826086
random,270,0.8428246013667426,0.6043578971420133,0.8463476070528967,0.8758169934640523,0.09090909090909091
random,290,0.8519362186788155,0.5819883040935673,0.86,0.8859649122807017,0.0
random,310,0.8519362186788155,0.5804470120934074,0.8586118251928021,0.8827292110874201,0.0
random,330,0.8610478359908884,0.5852360412042819,0.8644501278772379,0.8912579957356077,0.0
random,350,0.8633257403189066,0.6182692512741773,0.8673469387755102,0.896551724137931,0.09090909090909091
random,370,0.856492027334852,0.582172297689539,0.8585858585858586,0.8879310344827587,0.0
random,390,0.8587699316628702,0.5828989134969437,0.8593350383631714,0.8893617021276595,0.0
random,410,0.856492027334852,0.6140553980221622,0.8556701030927835,0.8912579957356077,0.09523809523809523
random,430,0.8701594533029613,0.622922480790501,0.8730964467005076,0.9047619047619048,0.09090909090909091
random,450,0.8678815489749431,0.6231247322998971,0.8708860759493671,0.8984881209503239,0.1
random,470,0.8610478359908884,0.5855731042763462,0.8678304239401496,0.8888888888888888,0.0
random,490,0.8610478359908884,0.6182336182336182,0.8615384615384616,0.8931623931623932,0.1
random,510,0.8678815489749431,0.58970348647768,0.8787878787878788,0.8903225806451613,0.0
random,530,0.856492027334852,0.5809267005575539,0.8600508905852418,0.8827292110874201,0.0
random,550,0.8633257403189066,0.5864386822268214,0.8684863523573201,0.8908296943231441,0.0
random,570,0.8633257403189066,0.5863142705247969,0.8671679197994987,0.8917748917748918,0.0
random,590,0.8747152619589977,0.5939155736992965,0.8765743073047859,0.9051724137931034,0.0
random,610,0.8883826879271071,0.6382825402336851,0.8905472636815921,0.9190371991247265,0.10526315789473684
random,630,0.8633257403189066,0.6224000637476751,0.8628428927680798,0.8932461873638344,0.1111111111111111
random,650,0.8724373576309795,0.6609691965596619,0.8728179551122195,0.8995633187772926,0.21052631578947367
random,670,0.8701594533029613,0.626805875681079,0.8664987405541562,0.9028077753779697,0.1111111111111111
random,690,0.8747152619589977,0.6301529790660226,0.875,0.9043478260869565,0.1111111111111111
random,710,0.8678815489749431,0.5894857612919288,0.8697788697788698,0.8986784140969163,0.0
random,730,0.8678815489749431,0.5893498903782043,0.8684863523573201,0.8995633187772926,0.0
random,750,0.8656036446469249,0.5877734459605805,0.8641975308641975,0.8991228070175439,0.0
random,770,0.8678815489749431,0.58921080870159,0.8656716417910447,0.9019607843137255,0.0
random,790,0.8610478359908884,0.5841374873632939,0.8635235732009926,0.8888888888888888,0.0
random,810,0.8633257403189066,0.5857917470820696,0.8684863523573201,0.8888888888888888,0.0
random,830,0.8701594533029613,0.6593066861689719,0.8678304239401496,0.8995633187772926,0.21052631578947367
random,30,0.5261958997722096,0.40597154783201295,0.586046511627907,0.5604395604395604,0.07142857142857142
random,50,0.7061503416856492,0.5224808722857232,0.7488151658767772,0.7352941176470589,0.08333333333333333
random,70,0.7790432801822323,0.5576411386877764,0.7948051948051948,0.8156182212581344,0.0625
random,90,0.8086560364464692,0.578404685308917,0.8282828282828283,0.8463251670378619,0.06060606060606061
random,110,0.7790432801822323,0.5783435697003536,0.7839195979899497,0.8177777777777778,0.13333333333333333
random,130,0.8337129840546698,0.6479230850091778,0.841025641025641,0.8741721854304636,0.22857142857142856
random,150,0.8314350797266514,0.6196939189438359,0.8295165394402035,0.8695652173913043,0.16
random,170,0.826879271070615,0.5923095584667637,0.8333333333333334,0.8602620087336245,0.08333333333333333
random,190,0.8656036446469249,0.619127936031984,0.8695652173913043,0.9008620689655172,0.08695652173913043
random,210,0.8496583143507973,0.6079809797482211,0.8522167487684729,0.8883928571428571,0.08333333333333333
random,230,0.8838268792710706,0.6594747738912498,0.8922305764411027,0.9122807017543859,0.17391304347826086
random,250,0.876993166287016,0.654531497432617,0.8793969849246231,0.9102844638949672,0.17391304347826086
random,270,0.8701594533029613,0.6466943597448701,0.8765743073047859,0.9035087719298246,0.16
random,290,0.8701594533029613,0.6740362811791383,0.8673469387755102,0.9047619047619048,0.25
random,310,0.8701594533029613,0.6846696622157729,0.8733850129198967,0.9047619047619048,0.27586206896551724
random,330,0.8747152619589977,0.6872981402791879,0.8753180661577609,0.9008620689655172,0.2857142857142857
random,350,0.8792710706150342,0.6627788675368954,0.8816120906801007,0.9067245119305857,0.2
random,370,0.8838268792710706,0.6661828864099245,0.8922305764411027,0.906318082788671,0.2
random,390,0.8678815489749431,0.6216956280175522,0.8765743073047859,0.8976034858387799,0.09090909090909091
random,410,0.8701594533029613,0.6233819285289873,0.8774509803921569,0.9017857142857143,0.09090909090909091
random,430,0.876993166287016,0.596428836037638,0.8801955990220048,0.9090909090909091,0.0
random,450,0.876993166287016,0.6306659690673803,0.8780487804878049,0.9086859688195991,0.10526315789473684
random,470,0.8747152619589977,0.6276891704901318,0.8743718592964824,0.908695652173913,0.1
random,490,0.8792710706150342,0.5976909140599407,0.8784119106699751,0.9146608315098468,0.0
random,510,0.8792710706150342,0.632048212238359,0.8805970149253731,0.9102844638949672,0.10526315789473684
random,530,0.8747152619589977,0.5939849624060151,0.8771929824561403,0.9047619047619048,0.0
random,550,0.8792710706150342,0.5970209689081707,0.88,0.911062906724512,0.0
random,570,0.876993166287016,0.5963008185230407,0.8790123456790123,0.9098901098901099,0.0
random,590,0.8815489749430524,0.6335040499800225,0.8822055137844611,0.9130434782608695,0.10526315789473684
random,610,0.8838268792710706,0.6379033218493472,0.885,0.911062906724512,0.11764705882352941
random,630,0.876993166287016,0.5954382535027696,0.8787878787878788,0.9075268817204301,0.0
random,650,0.8678815489749431,0.5893492407809111,0.87,0.8980477223427332,0.0
random,670,0.876993166287016,0.5955081382434129,0.8793969849246231,0.9071274298056156,0.0
random,690,0.8701594533029613,0.5917243250576584,0.8740740740740741,0.9010989010989011,0.0
random,710,0.876993166287016,0.5955696179671387,0.8784119106699751,0.9082969432314411,0.0
random,730,0.8724373576309795,0.5924597541726715,0.8734491315136477,0.9039301310043668,0.0
random,750,0.8792710706150342,0.5964308890330954,0.8805970149253731,0.908695652173913,0.0
random,770,0.8724373576309795,0.5930453459669635,0.8728179551122195,0.906318082788671,0.0
random,790,0.8792710706150342,0.5964989964989965,0.8796068796068796,0.9098901098901099,0.0
random,810,0.8701594533029613,0.5907181696821038,0.8693467336683417,0.9028077753779697,0.0
random,830,0.876993166287016,0.595033795033795,0.8796068796068796,0.9054945054945055,0.0
random,30,0.6287015945330297,0.5006228691319171,0.6451612903225806,0.7317073170731707,0.125
random,50,0.642369020501139,0.5034129338834816,0.6437994722955145,0.748792270531401,0.11764705882352941
random,70,0.7539863325740319,0.5600883076235189,0.7571428571428571,0.7981220657276995,0.125
random,90,0.7494305239179955,0.5686805840436361,0.7793427230046949,0.7766990291262136,0.15
random,110,0.8041002277904328,0.6138612292086223,0.8146341463414634,0.8394495412844036,0.1875
random,130,0.7904328018223234,0.5666356582040711,0.7990430622009569,0.8267898383371824,0.07407407407407407
random,150,0.7972665148063781,0.5912759401566619,0.8048780487804879,0.8356164383561644,0.13333333333333333
random,170,0.8200455580865603,0.6068153978795988,0.8324873096446701,0.8546255506607929,0.13333333333333333
random,190,0.826879271070615,0.5918259178215415,0.8333333333333334,0.862144420131291,0.08
random,210,0.8428246013667426,0.6058885240168946,0.8413098236775819,0.8763557483731019,0.1
random,230,0.8428246013667426,0.6056245988680787,0.8375634517766497,0.8793103448275862,0.1
random,250,0.8473804100227791,0.5760869565217391,0.85,0.8782608695652174,0.0
random,270,0.8473804100227791,0.6359537403015664,0.8434343434343434,0.8826086956521739,0.18181818181818182
random,290,0.8405466970387244,0.6029892420136322,0.8444444444444444,0.8736141906873615,0.09090909090909091
random,310,0.8451025056947609,0.6345895149959139,0.8442211055276382,0.8777292576419214,0.18181818181818182
random,330,0.8473804100227791,0.632240775097918,0.8469387755102041,0.8831168831168831,0.16666666666666666
random,350,0.8610478359908884,0.6475894867905924,0.8600508905852418,0.8922413793103449,0.19047619047619047
random,370,0.8542141230068337,0.5825058480492514,0.8542713567839196,0.8932461873638344,0.0
random,390,0.8587699316628702,0.6166215563514413,0.8556962025316456,0.8941684665226782,0.1
random,410,0.8542141230068337,0.5806521739130435,0.855,0.8869565217391304,0.0
random,430,0.8633257403189066,0.5867343702713037,0.8621553884711779,0.8980477223427332,0.0
random,450,0.8633257403189066,0.5870244919228765,0.8663366336633663,0.8947368421052632,0.0
random,470,0.8678815489749431,0.5892782848728886,0.8693467336683417,0.8984881209503239,0.0
random,490,0.8701594533029613,0.5902155887230515,0.8706467661691543,0.9,0.0
random,510,0.8724373576309795,0.6270258187957404,0.8686868686868687,0.9071274298056156,0.10526315789473684
random,530,0.8610478359908884,0.6222689227485421,0.85785536159601,0.8913043478260869,0.11764705882352941
random,550,0.8656036446469249,0.6533245939844148,0.864321608040201,0.8956521739130435,0.2
random,570,0.876993166287016,0.6317831919301907,0.8810126582278481,0.9032258064516129,0.1111111111111111
random,590,0.8610478359908884,0.5840842141743199,0.864321608040201,0.8879310344827587,0.0
random,610,0.8678815489749431,0.6579241677177693,0.87,0.8932461873638344,0.21052631578947367
random,630,0.8701594533029613,0.6593069239335162,0.8693467336683417,0.8980477223427332,0.21052631578947367
random,650,0.876993166287016,0.6931124049831657,0.8778054862842892,0.9015317286652079,0.3
random,670,0.8724373576309795,0.658047078480515,0.8721804511278195,0.9019607843137255,0.2
random,690,0.8633257403189066,0.6491131934169909,0.8607594936708861,0.8961038961038961,0.19047619047619047
random,710,0.876993166287016,0.6314437478230581,0.8737373737373737,0.9094827586206896,0.1111111111111111
random,730,0.8747152619589977,0.627904527521459,0.8778054862842892,0.9059080962800875,0.1
random,750,0.8747152619589977,0.5932667045854663,0.8765743073047859,0.9032258064516129,0.0
random,770,0.8656036446469249,0.6224625474938081,0.8636363636363636,0.8984881209503239,0.10526315789473684
random,790,0.8701594533029613,0.5902834824967212,0.8712871287128713,0.8995633187772926,0.0
random,810,0.8701594533029613,0.5901443001443002,0.87,0.9004329004329005,0.0
random,830,0.8724373576309795,0.5926584098157559,0.8784119106699751,0.8995633187772926,0.0
random,30,0.6446469248291572,0.5007549323282081,0.6822916666666666,0.729064039408867,0.09090909090909091
random,50,0.7608200455580866,0.5591365692814968,0.7513227513227513,0.8260869565217391,0.1
random,70,0.7722095671981777,0.5828602920914853,0.7696335078534031,0.8289473684210527,0.15
random,90,0.7562642369020501,0.5571335746774343,0.7566137566137566,0.8095238095238095,0.10526315789473684
random,110,0.7790432801822323,0.6113265922550996,0.7774936061381074,0.8211920529801324,0.23529411764705882
random,130,0.7767653758542141,0.5865034968132272,0.7647058823529411,0.8369098712446352,0.15789473684210525
random,150,0.7813211845102506,0.5762542661563469,0.7855297157622739,0.8289473684210527,0.11428571428571428
random,170,0.8177676537585421,0.6054271064981648,0.8174807197943444,0.8608695652173913,0.13793103448275862
random,190,0.8200455580865603,0.6256689016724034,0.8244274809160306,0.8590308370044053,0.1935483870967742
random,210,0.8314350797266514,0.5939399947131906,0.8298969072164949,0.875,0.07692307692307693
random,230,0.835990888382688,0.5974160124025715,0.8387096774193549,0.8794642857142857,0.07407407407407407
random,250,0.8587699316628702,0.6162720523585814,0.8641975308641975,0.8893805309734514,0.09523809523809523
random,270,0.8678815489749431,0.6239024323030233,0.8636363636363636,0.9028077753779697,0.10526315789473684
random,290,0.8542141230068337,0.6116200612669225,0.8463476070528967,0.8976034858387799,0.09090909090909091
random,310,0.8747152619589977,0.6573907021668216,0.8805970149253731,0.9010989010989011,0.19047619047619047
random,330,0.8747152619589977,0.6268360182389313,0.8765743073047859,0.908695652173913,0.09523809523809523
random,350,0.8678815489749431,0.6549952616634925,0.8678304239401496,0.8971553610503282,0.2
random,370,0.876993166287016,0.6610225038234651,0.8743718592964824,0.908695652173913,0.2
random,390,0.8633257403189066,0.6200655021834062,0.865,0.8951965065502183,0.1
random,410,0.8678815489749431,0.6524155777887121,0.8656716417910447,0.9010989010989011,0.19047619047619047
random,430,0.8678815489749431,0.6524035938352641,0.8686868686868687,0.8980477223427332,0.19047619047619047
random,450,0.856492027334852,0.6150040800232205,0.8542199488491049,0.8907922912205567,0.1
random,470,0.8701594533029613,0.6256149366911347,0.8717948717948718,0.8997867803837953,0.10526315789473684
